river_id,slug,local_name,qaulified_name,station_id,order
1001,alconbury-brook,Alconbury Brook,Alconbury Brook,6075,1
1001,alconbury-brook,Alconbury Brook,Alconbury Brook,6161,2
1001,alconbury-brook,Alconbury Brook,Alconbury Brook,6150,3
1002,aldford-brook,Aldford Brook,Aldford Brook,4174,1
1003,aldingbourne-rife,Aldingbourne Rife,Aldingbourne Rife,9254,1
1004,aller-brook,Aller Brook,Aller Brook,3204,1
1005,allison-dike,Allison Dike,Allison Dike,9324,1
1006,alverthorpe-beck,Alverthorpe Beck,Alverthorpe Beck,8311,1
1006,alverthorpe-beck,Alverthorpe Beck,Alverthorpe Beck,8353,2
1007,alwen,Alwen,Alwen,4166,1
1008,alyn,Alyn,Alyn,4186,1
1008,alyn,Alyn,Alyn,4242,2
1008,alyn,Alyn,Alyn,4243,3
1008,alyn,Alyn,Alyn,4182,4
1008,alyn,Alyn,Alyn,4244,5
1009,ampney-brook,Ampney Brook,Ampney Brook,7021,1
1009,ampney-brook,Ampney Brook,Ampney Brook,7022,2
1011,arkle-beck,Arkle Beck,Arkle Beck,8168,1
1012,arrowe-brook,Arrowe Brook,Arrowe Brook,5002,1
1013,ashbrooke,Ashbrooke,Ashbrooke,2199,1
1014,atherfield-brook,Atherfield Brook,Atherfield Brook,9171,1
1015,babingley-river,Babingley River,Babingley River,6248,1
1016,back-delfin,Back Delfin,Back Delfin,9147,1
1017,badsey-brook,Badsey Brook,Badsey Brook,2015,1
1018,bagley-brook,Bagley Brook,Bagley Brook,2210,1
1019,bagley-dike,Bagley Dike,Bagley Dike,9328,1
1020,baguley-brook,Baguley Brook,Baguley Brook,5197,1
1021,baildon-dike,Baildon Dike,Baildon Dike,9334,1
1022,balne-beck,Balne Beck,Balne Beck,9046,1
1022,balne-beck,Balne Beck,Balne Beck,9399,2
1023,barbourne-brook,Barbourne Brook,Barbourne Brook,2235,1
1023,barbourne-brook,Barbourne Brook,Barbourne Brook,2236,2
1024,bardsey-beck,Bardsey Beck,Bardsey Beck,8236,1
1025,barge-canal,Barge Canal,Barge Canal,9235,1
1026,barlings-eau,Barlings Eau,Barlings Eau,6052,1
1027,barmston-drain,Barmston Drain,Barmston Drain,9361,1
1028,barnham-rife,Barnham Rife,Barnham Rife,9251,1
1029,bartley-water,Bartley Water,Bartley Water,9170,1
1029,bartley-water,Bartley Water,Bartley Water,9221,2
1029,bartley-water,Bartley Water,Bartley Water,9264,3
1029,bartley-water,Bartley Water,Bartley Water,9263,4
1030,barton-haven,Barton Haven,Barton Haven,6242,1
1031,batley-beck,Batley Beck,Batley Beck,9032,1
1031,batley-beck,Batley Beck,Batley Beck,8348,2
1031,batley-beck,Batley Beck,Batley Beck,8347,3
1032,bear-brook,Bear Brook,Bear Brook,7091,1
1033,beaulieu-river,Beaulieu River,Beaulieu River,9201,1
1033,beaulieu-river,Beaulieu River,Beaulieu River,9239,2
1033,beaulieu-river,Beaulieu River,Beaulieu River,9238,3
1034,bechan-brook,Bechan Brook,Bechan Brook,4259,1
1035,bedale-beck,Bedale Beck,Bedale Beck,9142,1
1036,bedburn-beck,Bedburn Beck,Bedburn Beck,8018,1
1037,beverley-brook,Beverley Brook,Beverley Brook,7292,1
1037,beverley-brook,Beverley Brook,Beverley Brook,7293,2
1037,beverley-brook,Beverley Brook,Beverley Brook,7297,3
1037,beverley-brook,Beverley Brook,Beverley Brook,7298,4
1037,beverley-brook,Beverley Brook,Beverley Brook,7299,5
1038,bickerly-mill-stream,Bickerly Mill Stream,Bickerly Mill Stream,9227,1
1039,bielby-beck,Bielby Beck,Bielby Beck,9145,1
1040,billinghay-skirth,Billinghay Skirth,Billinghay Skirth,6071,1
1040,billinghay-skirth,Billinghay Skirth,Billinghay Skirth,6227,2
1041,bin-brook,Bin Brook,Bin Brook,6246,1
1042,bishop-monkton-beck,Bishop Monkton Beck,Bishop Monkton Beck,8229,1
1043,black-brook-leicestershire,Black Brook,Black Brook (Leicestershire),2161,1
1999,black-brook-yorkshire,Black Brook,Black Brook (Yorkshire),9413,1
1044,blackburn-brook,Blackburn Brook,Blackburn Brook,8341,1
1044,blackburn-brook,Blackburn Brook,Blackburn Brook,8261,2
1045,blackfoss-beck,Blackfoss Beck,Blackfoss Beck,9144,1
1046,blacup-beck,Blacup Beck,Blacup Beck,8297,1
1047,bloxham-brook,Bloxham Brook,Bloxham Brook,7061,1
1048,blue-beck,Blue Beck,Blue Beck,8332,1
1049,bodmin-town-leat,Bodmin Town Leat,Bodmin Town Leat,3395,1
1050,bolingey-stream,Bolingey Stream,Bolingey Stream,3173,1
1051,bosham-stream,Bosham Stream,Bosham Stream,9255,1
1052,bottle-brook,Bottle Brook,Bottle Brook,2191,1
1053,boundary-brook,Boundary Brook,Boundary Brook,9365,1
1054,bourn-brook,Bourn Brook,Bourn Brook,6262,1
1054,bourn-brook,Bourn Brook,Bourn Brook,6197,2
1055,bourne-brook,Bourne Brook,Bourne Brook,9111,1
1056,bourne-rivulet,Bourne Rivulet,Bourne Rivulet,9231,1
1056,bourne-rivulet,Bourne Rivulet,Bourne Rivulet,9205,2
1057,bow-brook,Bow Brook,Bow Brook,2224,1
1057,bow-brook,Bow Brook,Bow Brook,2010,2
1058,bowmont-water,Bowmont Water,Bowmont Water,8375,1
1059,bradford-beck,Bradford Beck,Bradford Beck,9390,1
1059,bradford-beck,Bradford Beck,Bradford Beck,9048,2
1060,bradiford-water,Bradiford Water,Bradiford Water,3109,1
1061,bradley-brook,Bradley Brook,Bradley Brook,3411,1
1062,bramham-beck,Bramham Beck,Bramham Beck,8329,1
2000,brampton-beck,Brampton Beck,Brampton Beck,9417,1
1063,brampton-branch,Brampton Branch,Brampton Branch,6122,3
1063,brampton-branch,Brampton Branch,Brampton Branch,6102,4
1063,brampton-branch,Brampton Branch,Brampton Branch,6218,1
1063,brampton-branch,Brampton Branch,Brampton Branch,6118,2
1064,bridgehouse-beck,Bridgehouse Beck,Bridgehouse Beck,9039,1
1065,brinkworth-brook,Brinkworth Brook,Brinkworth Brook,9122,1
1065,brinkworth-brook,Brinkworth Brook,Brinkworth Brook,3419,2
1066,brislington-brook,Brislington Brook,Brislington Brook,3032,1
1068,broad-fleet,Broad Fleet,Broad Fleet,5110,1
1069,brompton-beck,Brompton Beck,Brompton Beck,8188,1
1071,brook-dike,Brook Dike,Brook Dike,8254,1
1072,brough-beck,Brough Beck,Brough Beck,9344,2
1072,brough-beck,Brough Beck,Brough Beck,8284,3
1072,brough-beck,Brough Beck,Brough Beck,8283,1
1073,broughton-beck,Broughton Beck,Broughton Beck,8035,1
1074,broughton-brook,Broughton Brook,Broughton Brook,6164,1
1075,browney-dyke,Browney Dyke,Browney Dyke,9386,1
1076,brownwich-stream,Brownwich Stream,Brownwich Stream,9176,1
1077,buck-beck,Buck Beck,Buck Beck,9304,1
1078,budleigh-brook,Budleigh Brook,Budleigh Brook,3348,1
1078,budleigh-brook,Budleigh Brook,Budleigh Brook,3236,2
1079,bulstake-stream,Bulstake Stream,Bulstake Stream,7075,1
1080,bumpstead-brook,Bumpstead Brook,Bumpstead Brook,6133,1
2023,burn-valley-beck,Burn Valley Beck,Burn Valley Beck,9443,1
1081,burrow-beck,Burrow Beck,Burrow Beck,5185,1
1082,burstow-stream,Burstow Stream,Burstow Stream,7255,1
1082,burstow-stream,Burstow Stream,Burstow Stream,7256,2
1083,burstwick-drain,Burstwick Drain,Burstwick Drain,8239,1
1084,bury-brook,Bury Brook,Bury Brook,6256,1
1085,bushy-beck,Bushy Beck,Bushy Beck,9321,1
1086,by-brook,By Brook,By Brook,3022,1
1086,by-brook,By Brook,By Brook,3040,2
1087,caker-stream,Caker Stream,Caker Stream,7228,1
1088,camlad,Camlad,Camlad,4263,1
1089,candover-stream,Candover Stream,Candover Stream,1050,1
1090,canley-brook,Canley Brook,Canley Brook,9110,1
1090,canley-brook,Canley Brook,Canley Brook,9097,2
1091,cannington-brook,Cannington Brook,Cannington Brook,3378,1
1092,cannon-brook,Cannon Brook,Cannon Brook,9307,1
1093,canons-brook,Canons Brook,Canons Brook,7355,1
1094,carnon-river,Carnon River,Carnon River,3161,1
1095,carr-brook,Carr Brook,Carr Brook,9327,1
1096,catcliffe-drain,Catcliffe Drain,Catcliffe Drain,8322,1
1097,ceiriog,Ceiriog,Ceiriog,4162,1
1098,chad-brook,Chad Brook,Chad Brook,6136,1
1099,chalgrove-brook,Chalgrove Brook,Chalgrove Brook,7404,1
1100,charlton-brook,Charlton Brook,Charlton Brook,8318,1
1101,cheddar-yeo,Cheddar Yeo,Cheddar Yeo,3410,1
1102,cheriton-stream,Cheriton Stream,Cheriton Stream,1057,1
1104,chew-stoke-brook,Chew Stoke Brook,Chew Stoke Brook,3031,1
1105,ching-brook,Ching Brook,Ching Brook,7008,1
1105,ching-brook,Ching Brook,Ching Brook,7373,2
1106,chitterne-brook,Chitterne Brook,Chitterne Brook,3321,1
2015,church-beck,Church Beck,Church Beck,9409,1
1107,clackers-brook,Clackers Brook,Clackers Brook,9279,1
1108,clanfield-brook,Clanfield Brook,Clanfield Brook,7039,1
1109,clay-coton-brook,Clay Coton Brook,Clay Coton Brook,9057,1
2024,clennon-valley-watercourse,Clennon Valley Watercourse,Clennon Valley Watercourse,9457,1
1110,clipstone-brook,Clipstone Brook,Clipstone Brook,6156,1
1111,clow-beck,Clow Beck,Clow Beck,8362,1
1112,coal-burn,Coal Burn,Coal Burn,5033,1
1113,coastal-stream,Coastal Stream,Coastal Stream,3387,1
1114,cobbins-brook,Cobbins Brook,Cobbins Brook,7363,1
1114,cobbins-brook,Cobbins Brook,Cobbins Brook,7364,2
1115,cock-beck,Cock Beck,Cock Beck,9350,1
1116,cocker-beck,Cocker Beck,Cocker Beck,2215,1
1117,cockers-dyke,Cockers Dyke,Cockers Dyke,5113,1
1118,cockshaw-burn,Cockshaw Burn,Cockshaw Burn,8270,1
1118,cockshaw-burn,Cockshaw Burn,Cockshaw Burn,8271,2
1118,cockshaw-burn,Cockshaw Burn,Cockshaw Burn,8273,3
1119,cod-beck,Cod Beck,Cod Beck,8286,1
1119,cod-beck,Cod Beck,Cod Beck,8287,2
1119,cod-beck,Cod Beck,Cod Beck,8063,3
2025,cole-brook,Cole Brook,Cole Brook,9437,1
1120,colliters-brook,Colliters Brook,Colliters Brook,3033,1
1121,colne-brook,Colne Brook,Colne Brook,7199,1
1121,colne-brook,Colne Brook,Colne Brook,9297,2
1121,colne-brook,Colne Brook,Colne Brook,7212,3
1121,colne-brook,Colne Brook,Colne Brook,7208,4
1122,colne-water,Colne Water,Colne Water,5188,1
1123,combe-haven,Combe Haven,Combe Haven,1166,1
1124,coney-gut,Coney Gut,Coney Gut,3117,1
1124,coney-gut,Coney Gut,Coney Gut,3108,2
1125,congresbury-yeo,Congresbury Yeo,Congresbury Yeo,3060,1
2001,costa-beck,Costa Beck,Costa Beck,9406,1
1126,cove-brook,Cove Brook,Cove Brook,7400,2
1126,cove-brook,Cove Brook,Cove Brook,9408,1
1127,cragg-brook,Cragg Brook,Cragg Brook,8321,1
1128,cranleigh-waters,Cranleigh Waters,Cranleigh Waters,7233,1
1128,cranleigh-waters,Cranleigh Waters,Cranleigh Waters,7235,2
1129,cripsey-brook,Cripsey Brook,Cripsey Brook,7377,1
1129,cripsey-brook,Cripsey Brook,Cripsey Brook,7378,2
1130,cuckmere-&-pevensey-levels,Cuckmere & Pevensey Levels,Cuckmere & Pevensey Levels,1167,1
1131,cundall-beck,Cundall Beck,Cundall Beck,8016,1
1132,cunsey-beck,Cunsey Beck,Cunsey Beck,5209,1
1133,currymoor-drain,Currymoor Drain,Currymoor Drain,3064,1
1134,dacre-beck,Dacre Beck,Dacre Beck,5040,1
1135,danes-stream,Danes Stream,Danes Stream,9210,1
1135,danes-stream,Danes Stream,Danes Stream,9208,2
1136,daniels-brook,Daniels Brook,Daniels Brook,2183,1
1136,daniels-brook,Daniels Brook,Daniels Brook,9416,2
1137,dauntsey-brook,Dauntsey Brook,Dauntsey Brook,3030,1
1138,dawlish-water,Dawlish Water,Dawlish Water,3404,1
1139,day-brook,Day Brook,Day Brook,2231,1
1140,de-lank-river,De Lank River,De Lank River,3136,1
1141,dean,Dean,Dean,5133,1
1142,dean-bottom-beck,Dean Bottom Beck,Dean Bottom Beck,8301,1
2016,dean-burn,Dean Burn,Dean Burn,9431,1
1143,deans-brook,Deans Brook,Deans Brook,7283,1
1144,dimore-brook,Dimore Brook,Dimore Brook,2229,1
1144,dimore-brook,Dimore Brook,Dimore Brook,2221,2
1145,docken's-water,Docken's Water,Docken's Water,3313,1
1146,dollis-brook,Dollis Brook,Dollis Brook,7278,1
1146,dollis-brook,Dollis Brook,Dollis Brook,7279,2
1147,doniford-stream,Doniford Stream,Doniford Stream,9261,1
1147,doniford-stream,Doniford Stream,Doniford Stream,3087,2
1147,doniford-stream,Doniford Stream,Doniford Stream,3090,3
1148,dorcan-brook,Dorcan Brook,Dorcan Brook,7029,1
1149,river-frome-dorset,River Frome,River Frome (Dorset),3278,1
1149,river-frome-dorset,River Frome,River Frome (Dorset),3277,2
1149,river-frome-dorset,River Frome,River Frome (Dorset),3272,3
1149,river-frome-dorset,River Frome,River Frome (Dorset),3275,4
1149,river-frome-dorset,River Frome,River Frome (Dorset),3280,5
1150,dover-beck,Dover Beck,Dover Beck,2232,1
1151,dovers-brook,Dovers Brook,Dovers Brook,5227,1
1152,dowles-brook,Dowles Brook,Dowles Brook,2023,1
1153,dragley-beck,Dragley Beck,Dragley Beck,9241,1
2002,dulas-brook,Dulas Brook,Dulas Brook,9423,1
1154,ea-beck,Ea Beck,Ea Beck,8243,1
1154,ea-beck,Ea Beck,Ea Beck,8244,2
1154,ea-beck,Ea Beck,Ea Beck,8151,3
1155,eagley-brook,Eagley Brook,Eagley Brook,5200,1
1156,earby-beck,Earby Beck,Earby Beck,8070,1
1156,earby-beck,Earby Beck,Earby Beck,8250,2
1157,east-clandon-stream,East Clandon Stream,East Clandon Stream,7238,1
1158,east-dart-river,East Dart River,East Dart River,3215,1
1159,east-fen-catchwater,East Fen Catchwater,East Fen Catchwater,6229,1
1160,east-glen-river,East Glen River,East Glen River,6033,1
1160,east-glen-river,East Glen River,East Glen River,6040,2
1161,east-lyn-river,East Lyn River,East Lyn River,3099,1
1162,east-okement-river,East Okement River,East Okement River,3407,1
1163,east-stour-kent,East Stour,East Stour (Kent),1129,1
1163,east-stour-kent,East Stour,East Stour (Kent),9140,2
1164,east-wilder-brook,East Wilder Brook,East Wilder Brook,3359,1
1165,eastburn-beck,Eastburn Beck,Eastburn Beck,8060,2
1166,eastern-yar,Eastern Yar,Eastern Yar,9184,1
1166,eastern-yar,Eastern Yar,Eastern Yar,9168,2
1166,eastern-yar,Eastern Yar,Eastern Yar,9185,3
1166,eastern-yar,Eastern Yar,Eastern Yar,9215,4
1166,eastern-yar,Eastern Yar,Eastern Yar,1018,5
1167,edgware-brook,Edgware Brook,Edgware Brook,7284,1
1168,egginton-brook,Egginton Brook,Egginton Brook,9079,1
1169,eller-beck,Eller Beck,Eller Beck,9315,1
1169,eller-beck,Eller Beck,Eller Beck,9316,2
1169,eller-beck,Eller Beck,Eller Beck,8187,3
1169,eller-beck,Eller Beck,Eller Beck,9317,4
1170,elvington-beck,Elvington Beck,Elvington Beck,9357,1
1171,emm-brook,Emm Brook,Emm Brook,7153,1
1172,emral-brook,Emral Brook,Emral Brook,4168,1
1173,endon-brook,Endon Brook,Endon Brook,9105,1
1174,eridge-stream,Eridge Stream,Eridge Stream,1076,1
1175,ewelme-brook,Ewelme Brook,Ewelme Brook,7098,1
1176,exminster-marshes,Exminster Marshes,Exminster Marshes,3253,1
1176,exminster-marshes,Exminster Marshes,Exminster Marshes,3241,2
1177,farnley-beck,Farnley Beck,Farnley Beck,8306,1
