station,region,telemetry_value_parent_id,parameter,value_timestamp,value
3340,Midlands,477046596,Rainfall,2026-01-21 09:45:00+00,0.4
3340,Midlands,477043928,Rainfall,2026-01-21 09:30:00+00,0.1
3340,Midlands,477040648,Rainfall,2026-01-21 09:15:00+00,0.7
3340,Midlands,477035944,Rainfall,2026-01-21 09:00:00+00,0.9
3340,Midlands,477033442,Rainfall,2026-01-21 08:45:00+00,0.3
3340,Midlands,477030850,Rainfall,2026-01-21 08:30:00+00,0
3340,Midlands,477027965,Rainfall,2026-01-21 08:15:00+00,0
3340,Midlands,477023169,Rainfall,2026-01-21 08:00:00+00,0
3340,Midlands,477020083,Rainfall,2026-01-21 07:45:00+00,0
3340,Midlands,477016691,Rainfall,2026-01-21 07:30:00+00,0
3340,Midlands,477013446,Rainfall,2026-01-21 07:15:00+00,0
3340,Midlands,477010127,Rainfall,2026-01-21 07:00:00+00,0
3340,Midlands,477006780,Rainfall,2026-01-21 06:45:00+00,0
3340,Midlands,477002958,Rainfall,2026-01-21 06:30:00+00,0
3340,Midlands,477001269,Rainfall,2026-01-21 06:15:00+00,0
3340,Midlands,476997772,Rainfall,2026-01-21 06:00:00+00,0
3340,Midlands,476993797,Rainfall,2026-01-21 05:45:00+00,0
3340,Midlands,476989846,Rainfall,2026-01-21 05:30:00+00,0
3340,Midlands,476986552,Rainfall,2026-01-21 05:15:00+00,0
3340,Midlands,476984169,Rainfall,2026-01-21 05:00:00+00,0
3340,Midlands,476979809,Rainfall,2026-01-21 04:45:00+00,0
3340,Midlands,476976923,Rainfall,2026-01-21 04:30:00+00,0
3340,Midlands,476973445,Rainfall,2026-01-21 04:15:00+00,0
3340,Midlands,476970083,Rainfall,2026-01-21 04:00:00+00,0
3340,Midlands,476967134,Rainfall,2026-01-21 03:45:00+00,0
3340,Midlands,476963632,Rainfall,2026-01-21 03:30:00+00,0
3340,Midlands,476959681,Rainfall,2026-01-21 03:15:00+00,0
3340,Midlands,476957843,Rainfall,2026-01-21 03:00:00+00,0
3340,Midlands,476953425,Rainfall,2026-01-21 02:45:00+00,0
3340,Midlands,476950230,Rainfall,2026-01-21 02:30:00+00,0
3340,Midlands,476946927,Rainfall,2026-01-21 02:15:00+00,0.1
3340,Midlands,476945083,Rainfall,2026-01-21 02:00:00+00,0
3340,Midlands,476940273,Rainfall,2026-01-21 01:45:00+00,0
3340,Midlands,476937411,Rainfall,2026-01-21 01:30:00+00,0.1
3340,Midlands,476934088,Rainfall,2026-01-21 01:15:00+00,0.1
3340,Midlands,476930403,Rainfall,2026-01-21 01:00:00+00,0.6
3340,Midlands,476926797,Rainfall,2026-01-21 00:45:00+00,0.9
3340,Midlands,476924259,Rainfall,2026-01-21 00:30:00+00,0.2
3340,Midlands,476920492,Rainfall,2026-01-21 00:15:00+00,0.1
3340,Midlands,476917254,Rainfall,2026-01-21 00:00:00+00,0.2
3340,Midlands,476914676,Rainfall,2026-01-20 23:45:00+00,0.2
3340,Midlands,476910407,Rainfall,2026-01-20 23:30:00+00,0.1
3340,Midlands,476907517,Rainfall,2026-01-20 23:15:00+00,1.2
3340,Midlands,476904050,Rainfall,2026-01-20 23:00:00+00,0.7
3340,Midlands,476901081,Rainfall,2026-01-20 22:45:00+00,0
3340,Midlands,476897591,Rainfall,2026-01-20 22:30:00+00,0.3
3340,Midlands,476894087,Rainfall,2026-01-20 22:15:00+00,0.3
3340,Midlands,476891148,Rainfall,2026-01-20 22:00:00+00,0.3
3340,Midlands,476886889,Rainfall,2026-01-20 21:45:00+00,0.4
3340,Midlands,476883989,Rainfall,2026-01-20 21:30:00+00,0.4
3340,Midlands,476881158,Rainfall,2026-01-20 21:15:00+00,0.3
3340,Midlands,476877935,Rainfall,2026-01-20 21:00:00+00,0.3
3340,Midlands,476874188,Rainfall,2026-01-20 20:45:00+00,0.3
3340,Midlands,476870905,Rainfall,2026-01-20 20:30:00+00,0.1
3340,Midlands,476868002,Rainfall,2026-01-20 20:15:00+00,0.1
3340,Midlands,476864727,Rainfall,2026-01-20 20:00:00+00,0.2
3340,Midlands,476861366,Rainfall,2026-01-20 19:45:00+00,0.1
3340,Midlands,476858682,Rainfall,2026-01-20 19:30:00+00,0
3340,Midlands,476855447,Rainfall,2026-01-20 19:15:00+00,0
3340,Midlands,476852217,Rainfall,2026-01-20 19:00:00+00,0
3340,Midlands,476848469,Rainfall,2026-01-20 18:45:00+00,0
3340,Midlands,476845395,Rainfall,2026-01-20 18:30:00+00,0
3340,Midlands,476841721,Rainfall,2026-01-20 18:15:00+00,0
3340,Midlands,476838815,Rainfall,2026-01-20 18:00:00+00,0
3340,Midlands,476834939,Rainfall,2026-01-20 17:45:00+00,0
3340,Midlands,476832036,Rainfall,2026-01-20 17:30:00+00,0
3340,Midlands,476828464,Rainfall,2026-01-20 17:15:00+00,0
3340,Midlands,476826279,Rainfall,2026-01-20 17:00:00+00,0
3340,Midlands,476822112,Rainfall,2026-01-20 16:45:00+00,0
3340,Midlands,476818947,Rainfall,2026-01-20 16:30:00+00,0
3340,Midlands,476815870,Rainfall,2026-01-20 16:15:00+00,0
3340,Midlands,476811998,Rainfall,2026-01-20 16:00:00+00,0
3340,Midlands,476808584,Rainfall,2026-01-20 15:45:00+00,0
3340,Midlands,476805491,Rainfall,2026-01-20 15:30:00+00,0
3340,Midlands,476801773,Rainfall,2026-01-20 15:15:00+00,0
3340,Midlands,476799073,Rainfall,2026-01-20 15:00:00+00,0
3340,Midlands,476795514,Rainfall,2026-01-20 14:45:00+00,0
3340,Midlands,476792240,Rainfall,2026-01-20 14:30:00+00,0
3340,Midlands,476789211,Rainfall,2026-01-20 14:15:00+00,0
3340,Midlands,476785685,Rainfall,2026-01-20 14:00:00+00,0
3340,Midlands,476782566,Rainfall,2026-01-20 13:45:00+00,0
3340,Midlands,476779099,Rainfall,2026-01-20 13:30:00+00,0
3340,Midlands,476776032,Rainfall,2026-01-20 13:15:00+00,0.1
3340,Midlands,476772200,Rainfall,2026-01-20 13:00:00+00,0
3340,Midlands,476770732,Rainfall,2026-01-20 12:45:00+00,0
3340,Midlands,476766163,Rainfall,2026-01-20 12:30:00+00,0.1
3340,Midlands,476763481,Rainfall,2026-01-20 12:15:00+00,0
3340,Midlands,476759132,Rainfall,2026-01-20 12:00:00+00,0.1
3340,Midlands,476756598,Rainfall,2026-01-20 11:45:00+00,0
3340,Midlands,476752924,Rainfall,2026-01-20 11:30:00+00,0
3340,Midlands,476749796,Rainfall,2026-01-20 11:15:00+00,0
3340,Midlands,476746820,Rainfall,2026-01-20 11:00:00+00,0
3340,Midlands,476744671,Rainfall,2026-01-20 10:45:00+00,0
3340,Midlands,476740661,Rainfall,2026-01-20 10:30:00+00,0.1
3340,Midlands,476737536,Rainfall,2026-01-20 10:15:00+00,0
3340,Midlands,476733454,Rainfall,2026-01-20 10:00:00+00,0
3340,Midlands,476730353,Rainfall,2026-01-20 09:45:00+00,0
3340,Midlands,476727050,Rainfall,2026-01-20 09:30:00+00,0
3340,Midlands,476725026,Rainfall,2026-01-20 09:15:00+00,0
